strategy,strategy_family,fixed_weights,gross_exposure,drawdown_half,drawdown_quarter,total_turnover,rebalance_count,estimated_cost,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,passes_return_gate,passes_drawdown_gate
ext_fixed_btc_gld_50_50_x2_5,external_fixed,BTC-USD:0.50;GLD:0.50,2.5,-0.12,-0.2,10.5,5.0,0.0105,0.04131154390082603,0.005136813244751348,0.18869936295559162,-0.3470380310521781,0.027222207665641363,0.014801874103472579,0.00920036941891216,False,False
ext_fixed_tecl_gld_50_50_x1_0,external_fixed,TECL:0.50;GLD:0.50,1.0,-0.12,-0.2,6.0,8.0,0.006,0.031027813853104602,0.0038749709931076293,0.12563268373610428,-0.30178310230554095,0.030843653720294135,0.012840251702311704,0.021704749903203143,False,False
ext_fixed_tqqq_btc_gld_equal_x1_5,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.5,-0.08,-0.14,10.5,10.0,0.0105,0.027732866989970795,0.003468346203073569,0.13052195176611556,-0.30458191887173425,0.026572895640486253,0.011387236037915176,0.01636911006273855,False,False
ext_fixed_tecl_gld_50_50_x1_25,external_fixed,TECL:0.50;GLD:0.50,1.25,-0.12,-0.2,5.5,6.0,0.0055,0.01947048107131888,0.0024436668785992044,0.15048295379411641,-0.30372412004520155,0.01623882849842589,0.00804567934293637,0.010853735831445808,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x1_25,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,1.25,-0.08,-0.14,8.0,9.0,0.008,0.018646553045391645,0.0023410881735816957,0.143905527548427,-0.30093738940357706,0.016268229674456906,0.007779319738971154,0.009984785025387235,False,False
ext_fixed_btc_gld_50_50_x1_0,external_fixed,BTC-USD:0.50;GLD:0.50,1.0,-0.15,-0.22,6.0,8.0,0.006,0.012659333957970142,0.001593497487163198,0.12751894536570665,-0.30368751480171086,0.012496162688557909,0.005247161669466896,0.008904919092552878,False,False
ext_fixed_btc_gld_50_50_x3_0,external_fixed,BTC-USD:0.50;GLD:0.50,3.0,-0.08,-0.14,7.0,2.0,0.007,0.012515291181818489,0.0015754641596739116,0.13955787714831228,-0.350759981937664,0.011288966211485285,0.004491573271759087,0.0016539192967978704,False,False
ext_fixed_btc_gld_50_50_x3_0,external_fixed,BTC-USD:0.50;GLD:0.50,3.0,-0.12,-0.2,7.0,2.0,0.007,0.012515291181818489,0.0015754641596739116,0.13955787714831228,-0.350759981937664,0.011288966211485285,0.004491573271759087,0.0016539192967978704,False,False
ext_fixed_btc_gld_50_50_x3_0,external_fixed,BTC-USD:0.50;GLD:0.50,3.0,-0.15,-0.22,7.0,2.0,0.007,0.012515291181818489,0.0015754641596739116,0.13955787714831228,-0.350759981937664,0.011288966211485285,0.004491573271759087,0.0016539192967978704,False,False
ext_fixed_btc_gld_50_50_x2_5,external_fixed,BTC-USD:0.50;GLD:0.50,2.5,-0.08,-0.14,10.5,6.0,0.0105,0.011798980454630126,0.0014857528826195399,0.16541062256467456,-0.30363282793506063,0.008982209604093712,0.004893255096044176,0.0030459785330691847,False,False
ext_fixed_tqqq_btc_gld_equal_x3_0,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,3.0,-0.08,-0.14,12.0,4.0,0.012,0.008270312081791742,0.001043008504001186,0.15199915100725597,-0.33228405459793176,0.006861936379838043,0.0031389062748233302,0.001324140236750061,False,False
ext_fixed_tqqq_btc_gld_equal_x1_5,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.5,-0.12,-0.2,6.0,4.0,0.006,0.004036855288879426,0.0005100445040344681,0.1307262504119124,-0.3206158859821068,0.003901622684253096,0.0015908272993775895,0.0013574812784971108,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x1_25,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,1.25,-0.12,-0.2,12.0,12.0,0.012,0.003449047811582062,0.00043588834130692256,0.15143335422015972,-0.31136692224942797,0.0028784170010076582,0.001399918585307349,0.0015250170553402715,False,False
ext_fixed_tqqq_btc_gld_equal_x2_0,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,2.0,-0.08,-0.14,11.0,8.0,0.011,0.003427019796093056,0.0004331086104056858,0.14527951300341446,-0.3044017489916043,0.002981209128884584,0.001422819060141574,0.0014995847691022608,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x1_0,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,1.0,-0.12,-0.2,9.0,10.0,0.009000000000000001,0.003082081304830231,0.00038957362405933615,0.158223237300362,-0.3089501203490327,0.002462177052538697,0.0012609596125718288,0.0016104665496073942,False,False
ext_fixed_btc_gld_50_50_x1_75,external_fixed,BTC-USD:0.50;GLD:0.50,1.75,-0.12,-0.2,8.5,6.0,0.0085,-0.021569450888207164,-0.00275610395910153,0.15468734078731794,-0.34496565316259986,-0.017817256053880588,-0.007989502531147465,-0.006160529558398605,False,False
ext_fixed_btc_gld_50_50_x1_75,external_fixed,BTC-USD:0.50;GLD:0.50,1.75,-0.15,-0.22,8.5,6.0,0.0085,-0.021569450888207164,-0.00275610395910153,0.15468734078731794,-0.34496565316259986,-0.017817256053880588,-0.007989502531147465,-0.006160529558398605,False,False
ext_fixed_tqqq_btc_gld_equal_x1_25,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.25,-0.12,-0.2,8.0,9.0,0.008,-0.028119470313600292,-0.003603558477991542,0.12923682330855787,-0.30206650242582833,-0.02788337244554447,-0.011929685844183887,-0.017164911418917787,False,False
ext_fixed_tqqq_btc_gld_equal_x1_75,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.75,-0.08,-0.14,10.249999999999998,8.0,0.010249999999999999,-0.033337969403801404,-0.00428231622541031,0.133172897548995,-0.301239469119125,-0.03215606406577452,-0.01421565453535197,-0.01865106712594916,False,False
ext_fixed_tqqq_gld_50_50_x1_0,external_fixed,TQQQ:0.50;GLD:0.50,1.0,-0.15,-0.22,5.0,6.0,0.005,-0.035272094099116025,-0.00453469632220449,0.11978259201748785,-0.3031733198738654,-0.03785772411355433,-0.014957438616601027,-0.024786483034571417,False,False
ext_fixed_btc_gld_50_50_x2_0,external_fixed,BTC-USD:0.50;GLD:0.50,2.0,-0.15,-0.22,9.0,6.0,0.009000000000000001,-0.041903645479521634,-0.005403402892536602,0.17678121382301465,-0.3876990624201725,-0.03056548134094296,-0.01393710590581881,-0.010569226467278973,False,False
ext_fixed_btc_gld_50_50_x1_5,external_fixed,BTC-USD:0.50;GLD:0.50,1.5,-0.12,-0.2,8.0,6.0,0.008,-0.04512133923752781,-0.005826801679441607,0.13881414655437657,-0.32870322358206994,-0.041975561022227076,-0.01772663381862692,-0.014935725963198431,False,False
ext_fixed_tqqq_btc_gld_equal_x1_25,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,1.25,-0.08,-0.14,8.0,8.0,0.008,-0.05077552333311042,-0.006573833088553305,0.11157362309674733,-0.3183364222792848,-0.05891924010438404,-0.020650584188528418,-0.0370135100962062,False,False
ext_fixed_tecl_gld_50_50_x1_75,external_fixed,TECL:0.50;GLD:0.50,1.75,-0.15,-0.22,14.0,13.0,0.014,-0.06311421809097673,-0.00821761296019674,0.17909342914407686,-0.30671090570313897,-0.04588450285122323,-0.02679269894677449,-0.028148178546636038,False,False
ext_fixed_btc_gld_50_50_x1_25,external_fixed,BTC-USD:0.50;GLD:0.50,1.25,-0.08,-0.14,7.5,7.0,0.0075,-0.06462711886172845,-0.008420463393894684,0.12643720567626987,-0.3077949606856347,-0.06659798711033253,-0.027357379000414805,-0.040495884918918826,False,False
ext_fixed_btc_gld_50_50_x1_75,external_fixed,BTC-USD:0.50;GLD:0.50,1.75,-0.08,-0.14,8.25,5.0,0.00825,-0.07250827903803325,-0.009481830815613268,0.1390334674795293,-0.3449656531625994,-0.0681981898855348,-0.027486304009356,-0.022024054513556206,False,False
ext_fixed_tqqq_gld_50_50_x1_25,external_fixed,TQQQ:0.50;GLD:0.50,1.25,-0.15,-0.22,5.5,5.0,0.0055,-0.07262483867292135,-0.009497587095987692,0.13793122133040256,-0.3157284292123349,-0.06885741316853149,-0.03008150745145708,-0.042426571805296506,False,False
ext_fixed_tecl_gld_50_50_x1_5,external_fixed,TECL:0.50;GLD:0.50,1.5,-0.12,-0.2,11.5,11.0,0.0115,-0.08149609120471113,-0.010701889913044216,0.1590053308577365,-0.30333759179830955,-0.06730522716008366,-0.03528046045859014,-0.0416706567477525,False,False
ext_fixed_btc_gld_50_50_x1_5,external_fixed,BTC-USD:0.50;GLD:0.50,1.5,-0.08,-0.14,7.5,5.0,0.0075,-0.09016689856688676,-0.011888839674450757,0.1260606550653931,-0.3287032235820696,-0.09431047037066008,-0.036168917191900886,-0.031427602759494966,False,False
ext_fixed_tqqq_gld_50_50_x1_0,external_fixed,TQQQ:0.50;GLD:0.50,1.0,-0.12,-0.2,5.0,6.0,0.005,-0.0952799946321764,-0.012593412058177655,0.11765600902796061,-0.30317331987386653,-0.10703585955550189,-0.04153865539163232,-0.06876639656091399,False,False
ext_fixed_btc_gld_50_50_x2_0,external_fixed,BTC-USD:0.50;GLD:0.50,2.0,-0.08,-0.14,9.0,5.0,0.009000000000000001,-0.09578642841107643,-0.012663386584027214,0.15888952826431868,-0.3876990624201726,-0.0796993151302029,-0.03266292805811108,-0.02574086490350423,False,False
ext_fixed_tqqq_gld_50_50_x1_25,external_fixed,TQQQ:0.50;GLD:0.50,1.25,-0.12,-0.2,9.5,10.0,0.0095,-0.10989092163318048,-0.014626106762416935,0.13127428523808418,-0.30941160223853015,-0.11141638848682707,-0.04727071207608254,-0.06937620405437621,False,False
ext_fixed_tecl_gld_50_50_x1_75,external_fixed,TECL:0.50;GLD:0.50,1.75,-0.12,-0.2,12.25,11.0,0.01225,-0.11981631706341156,-0.016023631320516762,0.16024258733693497,-0.3069945516057866,-0.09999608460405462,-0.05219516514772808,-0.05770405027311352,False,False
