trade_id,status,symbol,buy_date,sell_date,holding_days,buy_shares,sell_shares,sell_count,buy_price,average_sell_price,buy_value,sell_value,gross_pnl,cost,net_pnl,net_pnl_display,net_return_pct,exit_reasons
102,closed,000681,2025-12-04,2025-12-09,5,15400.0,15400.0,1,22.88,22.52,352352.0,346808.0,-5544.0,699.1600000000001,-6243.16,-6243.16,-0.017700830637893575,break_bbi
103,closed,600865,2026-01-06,2026-01-20,14,25600.0,25600.0,2,16.26,17.575703125,416256.00000000006,449938.0,33681.99999999994,866.1940000000001,32815.80599999994,32815.80599999994,0.07875687792373662,take_profit_8 / break_bbi
104,closed,002491,2026-01-06,2026-01-28,22,41400.0,41400.0,2,6.03,6.100193236714976,249642.0,252548.0,2906.0,502.19,2403.8100000000004,2403.8100000000004,0.009619409359837655,break_bbi / take_profit_8
105,closed,300548,2026-01-07,2026-01-13,6,5000.0,5000.0,1,136.0,122.2,680000.0,611000.0,-69000.0,1291.0,-70291.0,-70291.0,-0.10326585179526356,break_bbi
106,closed,300189,2026-01-08,2026-01-12,4,3400.0,3400.0,1,7.14,7.77,24276.0,26418.0,2142.0,50.694,2091.306,2091.306,0.0860609978257037,take_profit_8
107,closed,002837,2026-01-12,2026-02-03,22,5900.0,5900.0,1,77.55,84.28,457545.0,497252.0,39707.0,954.797,38752.203,38752.203,0.08461132677767108,take_profit_8
108,closed,688668,2026-01-13,2026-01-23,10,3600.0,3600.0,2,112.04,112.24666666666667,403344.0,404088.0,744.0,807.432,-63.43199999999996,-63.43199999999996,-0.00015710815425203136,break_bbi / take_profit_8
109,closed,600580,2026-01-16,2026-01-26,10,11800.0,11800.0,1,46.08,44.47,543744.0,524746.0,-18998.0,1068.49,-20066.489999999998,-20066.489999999998,-0.03686742944555445,break_bbi
110,closed,300189,2026-01-16,2026-01-19,3,100.0,100.0,1,6.62,7.29,662.0,729.0,67.0,1.391,65.609,65.609,0.09900824251277422,take_profit_8
111,closed,300177,2026-01-19,2026-01-20,1,100.0,100.0,1,10.25,10.05,1025.0,1005.0000000000001,-19.999999999999886,2.0300000000000002,-22.029999999999884,-22.029999999999884,-0.021471211715114038,break_bbi
112,closed,002195,2026-01-20,2026-01-23,3,20200.0,20200.0,1,9.62,10.51,194323.99999999997,212302.0,17978.00000000003,406.626,17571.37400000003,17571.37400000003,0.0903327441788982,take_profit_8
113,closed,002361,2026-01-23,2026-02-03,11,24000.0,24000.0,1,11.73,12.82,281520.0,307680.0,26160.0,589.2,25570.8,25570.8,0.09074046158445134,take_profit_8
114,closed,000681,2026-01-26,2026-02-26,31,18500.0,18500.0,1,28.29,25.77,523365.0,476745.0,-46620.0,1000.11,-47620.11,-47620.11,-0.09089743766307924,break_bbi
115,closed,000981,2026-01-28,2026-02-04,7,15600.0,15600.0,1,4.64,5.14,72384.0,80184.0,7800.0,152.56799999999998,7647.432,7647.432,0.10554531675221329,take_profit_8
116,closed,688525,2026-02-05,2026-03-03,26,4200.0,4200.0,1,161.7,146.57,679140.0,615594.0,-63546.0,1294.734,-64840.734,-64840.734,-0.09537938870035344,break_bbi
117,closed,002796,2026-02-05,2026-02-12,7,4800.0,4800.0,1,42.29,48.4,202992.0,232320.0,29328.0,435.312,28892.688000000002,28892.688000000002,0.1421919296121235,take_profit_8
118,closed,688668,2026-02-12,2026-03-13,29,1500.0,1500.0,1,154.01,133.87,231015.0,200805.0,-30210.0,431.82000000000005,-30641.82,-30641.82,-0.13250745099326358,break_bbi
119,closed,002131,2026-02-12,2026-02-13,1,200.0,200.0,1,8.16,8.91,1632.0,1782.0,150.0,3.414,146.58599999999998,146.58599999999998,0.0897301228183581,take_profit_8
120,closed,002119,2026-02-13,2026-03-12,27,100.0,100.0,1,22.91,21.36,2291.0,2136.0,-155.0,4.427,-159.427,-159.427,-0.06951887047914983,break_bbi
121,closed,000995,2026-02-26,2026-03-04,6,9500.0,9500.0,1,16.14,14.95,153330.0,142025.0,-11305.0,295.355,-11600.355,-11600.355,-0.07558055327572057,break_bbi
122,closed,603958,2026-02-26,2026-02-27,1,5600.0,5600.0,1,19.29,21.66,108024.0,121296.0,13272.0,229.32,13042.68,13042.68,0.12061810662121704,take_profit_8
123,closed,300921,2026-02-27,2026-03-03,4,11100.0,11100.0,2,19.76,19.05468468468468,219336.00000000003,211506.99999999997,-7829.000000000058,430.843,-8259.843000000059,-8259.843000000059,-0.037620780029687176,break_bbi
124,closed,002009,2026-03-02,2026-03-13,11,10000.0,10000.0,1,29.5,25.95,295000.0,259500.0,-35500.0,554.5,-36054.5,-36054.5,-0.12209654752027634,break_bbi
125,closed,000852,2026-03-11,2026-03-17,6,22000.0,22000.0,2,8.02,7.822636363636364,176440.0,172098.0,-4342.0,348.538,-4690.538,-4690.538,-0.026557765517185146,break_bbi
