strategy,strategy_family,top_n,momentum_window,volatility_window,trend_window,rebalance_interval,gross_exposure,defense_asset,drawdown_half,drawdown_quarter,total_turnover,rebalance_count,estimated_cost,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,passes_return_gate,passes_drawdown_gate
ext_ram_top1_m60_v10_t200_f5_x1_0_CASH,external_ram,1,60,10,200,5,1.0,CASH,-0.08,-0.14,110.5,154.0,0.1105,0.79492486809764,0.07684829799419446,0.22886351126899654,-0.2963759550091353,0.3357822204513423,0.2592932952061706,0.3196100100021633,False,True
ext_ram_top2_m10_v20_t200_f5_x1_0_CASH,external_ram,2,10,20,200,5,1.0,CASH,-0.08,-0.14,129.32388433946062,284.0,0.12932388433946063,0.7392601791448805,0.0725630627993239,0.21681453626059483,-0.2913215302950428,0.33467803428137555,0.24908238922757933,0.2708119204398171,False,True
ext_ram_top2_m60_v60_t50_f5_x1_0_CASH,external_ram,2,60,60,50,5,1.0,CASH,-0.08,-0.14,76.57249381474216,307.0,0.07657249381474217,0.6702703569742736,0.0670825662993435,0.2233431548420214,-0.2987017836318906,0.30035649109905965,0.2245804008388971,0.2624318210565525,False,True
ext_ram_top2_m10_v20_t100_f21_x1_0_CASH,external_ram,2,10,20,100,21,1.0,CASH,-0.08,-0.14,50.659803945059316,73.0,0.05065980394505932,0.6695172072584672,0.06702165366449164,0.21355256909860637,-0.2962602759966927,0.3138414768194377,0.22622558302497445,0.27203983597511106,False,True
ext_ram_top2_m60_v20_t200_f5_x1_0_CASH,external_ram,2,60,20,200,5,1.0,CASH,-0.08,-0.14,104.75974498397898,296.0,0.10475974498397898,0.5843262059226533,0.05997163694834651,0.23524031616003982,-0.27121241894755854,0.25493775015820974,0.22112422868048157,0.22845452355572796,False,True
ext_ram_top2_m60_v10_t200_f5_x1_0_CASH,external_ram,2,60,10,200,5,1.0,CASH,-0.08,-0.14,97.8226835733565,295.0,0.0978226835733565,0.554628351910045,0.0574360030619816,0.21463225165600944,-0.271877556050628,0.26760192197971316,0.21125687569181356,0.2371020221218141,False,True
ext_ram_top2_m60_v20_t100_f5_x1_0_CASH,external_ram,2,60,20,100,5,1.0,CASH,-0.08,-0.14,99.87468091647864,321.0,0.09987468091647864,0.5375274048927796,0.055956647292138895,0.22674937383101423,-0.29450649719347843,0.24677751628033506,0.19000140175304087,0.2280929637332675,False,True
ext_ram_top2_m60_v10_t100_f5_x1_0_CASH,external_ram,2,60,10,100,5,1.0,CASH,-0.08,-0.14,95.95760968394697,320.0,0.09595760968394697,0.5217081168927824,0.05457531220936218,0.21459273096640002,-0.298357589042081,0.2543204141332604,0.18291913533885262,0.2333365764983249,False,True
ext_ram_top2_m60_v20_t200_f10_x1_0_CASH,external_ram,2,60,20,200,10,1.0,CASH,-0.08,-0.14,60.05748655077669,155.0,0.06005748655077669,0.33908230238931036,0.03764773111609565,0.22846172116681673,-0.29211416586209693,0.16478791687210598,0.12888019656625838,0.14484758444556478,False,True
ext_ram_top2_m60_v20_t200_f5_x1_0_CASH,external_ram,2,60,20,200,5,1.0,CASH,-0.12,-0.2,110.52900090206376,296.0,0.11052900090206376,0.33309776381587763,0.03705963028418058,0.24061859350121598,-0.29541921343439725,0.15401814857667387,0.12544759649632703,0.13445459451066724,False,True
ext_ram_top2_m20_v20_t200_f5_x1_0_CASH,external_ram,2,20,20,200,5,1.0,CASH,-0.08,-0.14,98.80937702716324,288.0,0.09880937702716323,0.295498398297142,0.033311081299522094,0.20624834781991266,-0.2914770330305032,0.16150956675108943,0.11428372573023986,0.1292111404698663,False,True
ext_ram_top1_m10_v10_t50_f21_x1_0_CASH,external_ram,1,10,10,50,21,1.0,CASH,-0.08,-0.14,52.0,75.0,0.052000000000000005,0.24563963160427993,0.02819094915403575,0.20692711352957577,-0.2994670366300486,0.13623613007101876,0.09413706921226823,0.1247633500043357,False,True
ext_ram_top2_m10_v10_t50_f21_x1_0_CASH,external_ram,2,10,10,50,21,1.0,CASH,-0.08,-0.14,53.3600820101818,78.0,0.0533600820101818,0.23863940176949616,0.027457801843691065,0.18568729474516024,-0.2933088291275483,0.14787119324116668,0.09361396288466571,0.13193951038301086,False,True
ext_ram_top2_m60_v10_t200_f10_x1_0_CASH,external_ram,2,60,10,200,10,1.0,CASH,-0.08,-0.14,73.15006507603196,155.0,0.07315006507603197,0.22207597418920022,0.025708564636646614,0.22415967332187323,-0.2730929794189927,0.11468862465610134,0.09413850437071569,0.09711414484564872,False,True
ext_ram_top2_m10_v60_t100_f21_x2_5_GLD,external_ram,2,10,60,100,21,2.5,GLD,-0.15,-0.22,81.82936304205163,30.0,0.08182936304205163,24.9082282229794,0.5097262066801895,0.49030650247481794,-0.40976006754930183,1.0396072744443543,1.2439626187314115,1.1205525894157813,True,False
ext_ram_top1_m10_v10_t100_f21_x2_5_GLD,external_ram,1,10,10,100,21,2.5,GLD,-0.15,-0.22,113.25,37.0,0.11325,19.00407048606686,0.4611068752145393,0.49041318018476404,-0.41967360400781095,0.940241604111897,1.0987273700586544,1.0313004024241679,False,False
ext_ram_top1_m10_v10_t100_f21_x2_5_GLD,external_ram,1,10,10,100,21,2.5,GLD,-0.12,-0.2,109.5,36.0,0.1095,17.129307219554306,0.4430213600450519,0.47575269009679483,-0.41967360400781095,0.9312009564358248,1.0556331296852455,1.0265107344410827,False,False
ext_ram_top1_m10_v10_t200_f21_x2_5_GLD,external_ram,1,10,10,200,21,2.5,GLD,-0.15,-0.22,116.25,42.0,0.11625,16.79409280428608,0.43961667416909256,0.4830136681978618,-0.4196736040078113,0.9101536935990141,1.0475204300933592,1.0168821377465214,False,False
ext_ram_top1_m10_v60_t200_f10_x2_0_GLD,external_ram,1,10,60,200,10,2.0,GLD,-0.08,-0.14,131.0,68.0,0.131,16.186078634565156,0.43329566436525635,0.40695481520992655,-0.40935920654700975,1.0647267169986474,1.0584729925098137,1.350486504504354,False,False
ext_ram_top1_m20_v60_t50_f10_x2_5_GLD,external_ram,1,20,60,50,10,2.5,GLD,-0.15,-0.22,161.5,67.0,0.1615,15.821603727582485,0.42941225404131256,0.5119228659831272,-0.42516191642632306,0.8388221792293721,1.009996985738317,0.9127410512012407,False,False
