strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,cooldown_days,risk_asset_exposure,top_n,strategy_family,fixed_weights,gross_exposure,momentum_window,volatility_window,trend_window,rebalance_interval,cost_rate,drawdown_half,drawdown_quarter,drawdown_stop,passes_return_gate,passes_drawdown_gate
sat_top2_m120_v10_t200_f21_dd30,0.2364773059358667,0.06826779390298654,0.15796568873114156,-0.24760163668354018,0.43216849463543117,0.2757162465377386,0.42857146495821935,24.774240517674645,27.0,0.024774240517674646,0.0,0.6504315659679408,2,ram_trend,,1.0,120,10,200,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m20_v10_t60_f21_dd30,0.2275416924623419,0.06586000733663866,0.21082285133336706,-0.2470679125695675,0.312395012780168,0.26656641346777193,0.3506305062551508,42.0,25.0,0.042,0.0,0.7022194821208385,1,ram_trend,,1.0,20,10,60,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m60_v60_t120_f5_dd30,0.19934810754024102,0.05818291607703552,0.21169256488104046,-0.2185638703004824,0.2748462899947908,0.2662055535393175,0.2865789980144567,68.14602460629568,111.0,0.06814602460629568,0.0,0.7472256473489519,2,ram_trend,,1.0,60,60,120,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m60_v20_t60_f21_dd30,0.25596093018629396,0.07347657956679066,0.17498193687896174,-0.2807990420408816,0.4199095111035133,0.26166962334612665,0.44233902501146216,32.5,23.0,0.0325,0.0,0.5971023427866831,1,ram_trend,,1.0,60,20,60,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m120_v60_t120_f5_dd30,0.2075651055368759,0.06043312090018671,0.18789548959949326,-0.2360739373619405,0.32163156778804175,0.25599234534531745,0.3165923714045843,52.74159218666669,107.0,0.05274159218666669,0.0,0.6377928483353884,2,ram_trend,,1.0,120,60,120,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m20_v60_t200_f21_dd30,0.21985401609914712,0.0637788080723567,0.20211023085618215,-0.2505151416453971,0.3155644709432869,0.25459063134249693,0.3142012727779425,38.0,23.0,0.038,0.0,0.592170160295931,1,ram_trend,,1.0,20,60,200,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m10_v20_t200_f10_dd30,0.2409613213287254,0.069471539990555,0.18578370571488217,-0.2805202257003686,0.3739377450957476,0.2476525170942913,0.3676272814955912,72.20360384793399,53.0,0.07220360384793399,0.0,0.5869297163995068,2,ram_trend,,1.0,10,20,200,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m10_v60_t200_f10_dd30,0.2418151415954597,0.069700410624423,0.19153566131482225,-0.2824620710600353,0.3639030462836799,0.2467602477134308,0.3536725146291373,72.2477185931587,53.0,0.07224771859315869,0.0,0.5869297163995068,2,ram_trend,,1.0,10,60,200,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m60_v20_t60_f5_dd30,0.19280512617167322,0.05638352930124446,0.19051976022298628,-0.22880796343167742,0.29594583383504475,0.2464229323822495,0.30633854540382943,69.68820499817211,125.0,0.06968820499817212,0.0,0.6393341553637485,2,ram_trend,,1.0,60,20,60,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m120_v60_t120_f5_dd30,0.1912311957256605,0.05594966824221559,0.22463268354803262,-0.2540005258659326,0.2490718062861588,0.22027382837682444,0.25055045192298203,55.5,40.0,0.0555,0.0,0.6300863131935882,1,ram_trend,,1.0,120,60,120,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m20_v10_t60_f5_dd30,0.15907277969556266,0.04699727947726595,0.25024192056933936,-0.22458060435988225,0.18780738003584618,0.20926686706192366,0.20367867377055948,118.0,71.0,0.11800000000000001,0.0,0.6917385943279901,1,ram_trend,,1.0,20,10,60,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m120_v60_t60_f5_dd30,0.15302134013279578,0.04529358518870863,0.20711894590878469,-0.2470195154983298,0.21868393057898214,0.18336035149828023,0.21609334993211657,63.0,47.0,0.063,0.0,0.5792231812577066,1,ram_trend,,1.0,120,60,60,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m20_v60_t60_f10_dd30,0.13633192920597392,0.040562780003245535,0.2053827506313831,-0.243304367758566,0.19749847481615831,0.16671620150895317,0.20107343962717564,66.2895507229344,71.0,0.0662895507229344,0.0,0.5807644882860666,2,ram_trend,,1.0,20,60,60,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m60_v60_t120_f21_dd30,0.15294848883170564,0.04527303748824729,0.18789072057483133,-0.2807990420408817,0.24095408942889426,0.16122931602329316,0.26038849933307,31.0,22.0,0.031,0.0,0.6245376078914919,1,ram_trend,,1.0,60,60,120,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m60_v60_t60_f21_dd30,0.1293088665855333,0.03855769901497097,0.14616423767510306,-0.26367858953466294,0.26379707942429687,0.14622991985438472,0.27060525797073626,23.906126714734288,35.0,0.02390612671473429,0.0,0.48212083847102344,2,ram_trend,,1.0,60,60,60,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m60_v20_t200_f5_dd30,0.11783632443821679,0.03526373525266191,0.20364825750981522,-0.26791748860643194,0.1731600146441828,0.13162162513572967,0.16561724582771428,51.0,43.0,0.051000000000000004,0.0,0.5801479654747226,1,ram_trend,,1.0,60,20,200,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m60_v20_t60_f5_dd30,0.10105477308979638,0.030403252253796476,0.19823492019062108,-0.24700347220042063,0.15336981105327435,0.12308835978276059,0.15494373821069932,60.5,53.0,0.0605,0.0,0.531442663378545,1,ram_trend,,1.0,60,20,60,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m10_v60_t60_f10_dd30,0.11586474507432198,0.034695318865128666,0.20320036705001385,-0.28246207106003585,0.170744371030536,0.12283177962592491,0.17779523759127652,86.75199418548205,73.0,0.08675199418548205,0.0,0.6115906288532675,2,ram_trend,,1.0,10,60,60,10,0.001,-0.15,-0.22,-0.3,False,True
