trade_id,status,symbol,buy_date,sell_date,holding_days,buy_shares,sell_shares,sell_count,buy_price,average_sell_price,buy_value,sell_value,gross_pnl,cost,net_pnl,net_pnl_display,net_return_pct,exit_reasons
75,closed,688668,2026-01-13,2026-01-14,1,7200.0,7200.0,1,112.04,107.48,806688.0,773856.0,-32832.0,1580.5439999999999,-34412.544,-34412.544,-0.04261643390525933,break_bbi
76,closed,600865,2026-01-14,2026-01-20,6,52600.0,52600.0,1,14.83,13.89,780058.0,730614.0,-49444.0,1510.672,-50954.672,-50954.672,-0.06525638892462898,break_bbi
77,closed,300177,2026-01-20,2026-01-21,1,70200.0,70200.0,1,10.39,10.02,729378.0,703404.0,-25974.0,1432.7820000000002,-27406.782,-27406.782,-0.03753801540134553,break_bbi
78,closed,002361,2026-01-21,2026-01-23,2,61700.0,61700.0,1,11.38,12.46,702146.0,768782.0,66636.0,1470.9279999999999,65165.07200000001,65165.07200000001,0.09271572013224036,take_profit_8
79,closed,002195,2026-01-23,2026-02-27,35,75800.0,75800.0,1,10.12,11.07,767095.9999999999,839106.0,72010.00000000012,1606.2019999999998,70403.79800000011,70403.79800000011,0.0916879563124624,take_profit_8
80,closed,000981,2026-01-28,2026-02-04,7,100.0,100.0,1,4.64,5.14,463.99999999999994,514.0,50.00000000000006,0.978,49.022000000000055,49.022000000000055,0.10554531675221343,take_profit_8
81,closed,688525,2026-02-05,2026-03-03,26,5200.0,5200.0,1,161.7,146.57,840839.9999999999,762164.0,-78675.99999999988,1603.004,-80279.00399999988,-80279.00399999988,-0.09537938870035333,break_bbi
82,closed,002796,2026-02-05,2026-02-12,7,2400.0,2400.0,1,42.29,48.4,101496.0,116160.0,14664.0,217.656,14446.344000000001,14446.344000000001,0.1421919296121235,take_profit_8
83,closed,688668,2026-02-12,2026-03-13,29,700.0,700.0,1,154.01,133.87,107807.0,93709.0,-14098.0,201.51600000000002,-14299.516000000001,-14299.516000000001,-0.1325074509932636,break_bbi
84,closed,002131,2026-02-12,2026-02-13,1,1000.0,1000.0,1,8.16,8.91,8160.0,8910.0,750.0,17.07,732.9300000000001,732.9300000000001,0.08973012281835813,take_profit_8
