strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top2_m20_v60_f10_cost,0.46182983249405196,0.12538528716623865,0.169484831661269,-0.1719162626654822,0.7398024114443036,0.7293393028803541,0.8070355788285857,66.20930013839492,72.0,0.06620930013839492,ram_topn,2,20,60,10,0.001
ram_top3_m180_v120_f42_cost,0.3279485679079652,0.09225252432001563,0.09835833540652827,-0.12720038187470228,0.937922789550306,0.7252535170129303,1.0252887399577206,9.77119584897246,16.0,0.009771195848972462,ram_topn,3,180,120,42,0.001
ram_top3_m180_v20_f63_cost,0.3103029688130956,0.08771632773169435,0.10882670998442995,-0.12111741105060647,0.8060183731020087,0.7242255838431343,0.8697376889950751,9.4999533203415,11.0,0.0094999533203415,ram_topn,3,180,20,63,0.001
ram_top1_m60_v20_f42_cost,0.33562434018593224,0.09421279793467519,0.14819450494872413,-0.13166759986718812,0.6357374584656372,0.715535166052292,0.731973644101307,27.0,14.0,0.027,ram_topn,1,60,20,42,0.001
ram_top2_m180_v120_f21_cost,0.41457811659635957,0.11393977962469637,0.11367701738120498,-0.1612717518482949,1.0023114808036373,0.7065079799708336,1.1286746149849476,15.480514425949954,31.0,0.015480514425949955,ram_topn,2,180,120,21,0.001
ram_top3_m60_v20_f10_cost,0.34625383040476376,0.09691463156293678,0.13663879502291468,-0.13787453155057827,0.7092760994173284,0.7029190269805874,0.7945556688936036,40.353510774424464,73.0,0.040353510774424464,ram_topn,3,60,20,10,0.001
ram_top2_m180_v60_f21_cost,0.4107835514952136,0.11300928471650762,0.112635135388416,-0.16273218110217413,1.0033217816696485,0.6944495179202007,1.114934117455189,15.97062900119887,31.0,0.01597062900119887,ram_topn,2,180,60,21,0.001
ram_top3_m60_v60_f10_cost,0.3514896779798491,0.09824009420031765,0.14115928141254158,-0.14563016911725923,0.6959520707193775,0.6745861437626719,0.7806225679020328,38.672202728501986,73.0,0.038672202728501984,ram_topn,3,60,60,10,0.001
ram_top2_m60_v20_f42_cost,0.32039737092748366,0.09031643386236343,0.13921373943842094,-0.13630342447706523,0.6487609213479502,0.6626130943434977,0.7632691592338962,21.88899242585813,19.0,0.021888992425858133,ram_topn,2,60,20,42,0.001
ram_top2_m60_v60_f42_cost,0.3234981890452395,0.09111238928590781,0.1402451251719544,-0.13857822379488538,0.6496652855077495,0.6574798463340571,0.7740115966635303,21.923075509936098,19.0,0.021923075509936097,ram_topn,2,60,60,42,0.001
