strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top2_m20_v60_f63_cost,0.35571607299418706,0.05996052482082259,0.09841725953884467,-0.13138126380008064,0.6092480638231605,0.4563856602267346,0.6801959753620186,30.717610541382655,21.0,0.030717610541382657,ram_topn,2,20,60,63,0.001
ram_top1_m20_v120_f63_cost,0.46735278863517227,0.07613158733908798,0.12015671976248352,-0.17920918367346905,0.6336024109977286,0.4248196759704277,0.6588221379018673,33.0,17.0,0.033,ram_topn,1,20,120,63,0.001
ram_top1_m180_v60_f42_cost,0.3723670540493609,0.062439255720329934,0.11976109426256477,-0.1511968314103671,0.521365106964018,0.4129666947243225,0.5833115094243313,21.0,11.0,0.021,ram_topn,1,180,60,42,0.001
ram_top3_m120_v20_f10_cost,0.44924413327173185,0.07357765342090894,0.12691269253651116,-0.20402374254855182,0.5797501569808834,0.3606327994076452,0.5421889935744074,45.95844241763878,127.0,0.04595844241763878,ram_topn,3,120,20,10,0.001
ram_top3_m180_v20_f10_cost,0.3954612759816183,0.06583720351078859,0.11999294174700939,-0.19322832036440118,0.5486756350185861,0.34072232986670364,0.5374928609854789,34.097895094856625,131.0,0.034097895094856626,ram_topn,3,180,20,10,0.001
ram_top1_m180_v60_f21_cost,0.3911239682338372,0.06520252388840819,0.12850124569680393,-0.20255867297462915,0.5074077183831526,0.3218945055814763,0.5634667579646272,41.0,21.0,0.041,ram_topn,1,180,60,21,0.001
ram_top1_m20_v20_f21_cost,0.4424050523773033,0.07260639533797009,0.15475554488821727,-0.23279079797303592,0.4691682962986237,0.31189546996776074,0.5019569989697367,97.0,49.0,0.097,ram_topn,1,20,20,21,0.001
ram_top1_m180_v20_f21_cost,0.3561845983246088,0.060030607082889764,0.12585200918036754,-0.2025586729746296,0.4769936330285804,0.2963615736681321,0.5267947949265239,49.0,25.0,0.049,ram_topn,1,180,20,21,0.001
ram_top2_m120_v20_f63_cost,0.45906071741078924,0.07496530636745802,0.16600501691129757,-0.26465224333608783,0.4515845831786799,0.283259667186187,0.38149319346876603,20.469197608349464,20.0,0.020469197608349466,ram_topn,2,120,20,63,0.001
ram_top2_m120_v20_f10_cost,0.3616050068936687,0.060839974428529286,0.1342818058157934,-0.2152022683052629,0.4530768264465331,0.2827106559222146,0.4291917833465091,61.29532629780128,127.0,0.06129532629780128,ram_topn,2,120,20,10,0.001
ram_top1_m20_v20_f63_cost,0.2703299397258294,0.04684841894729441,0.11520848591072413,-0.17920918367346905,0.4066403492499466,0.26141751213294584,0.41285330650327384,33.0,17.0,0.033,ram_topn,1,20,20,63,0.001
ram_top1_m20_v60_f63_cost,0.2703299397258294,0.04684841894729441,0.11520848591072413,-0.17920918367346905,0.4066403492499466,0.26141751213294584,0.41285330650327384,33.0,17.0,0.033,ram_topn,1,20,60,63,0.001
ram_top1_m180_v60_f10_cost,0.3385672946369829,0.057381821281562884,0.14665201519161547,-0.22021617260931692,0.39127877790555976,0.26057042315127027,0.39938931012760576,55.0,28.0,0.055,ram_topn,1,180,60,10,0.001
ram_top1_m20_v60_f10_cost,0.42051576416014,0.0694725274081005,0.15694897182372738,-0.26789416512003883,0.44264404284296,0.2593282588927274,0.49796534699791734,145.0,73.0,0.145,ram_topn,1,20,60,10,0.001
ram_top3_m120_v20_f63_cost,0.383227953206843,0.06404297770603429,0.1547756292868074,-0.26465224333608783,0.41377946903617024,0.24198917378797605,0.3393494177548367,15.504487568331653,20.0,0.015504487568331653,ram_topn,3,120,20,63,0.001
ram_top3_m120_v60_f10_cost,0.3421367645060813,0.05792076369341115,0.1406430017582331,-0.2435927968937115,0.41182826709698356,0.23777699682427025,0.3646594578182328,40.33430563525148,127.0,0.040334305635251484,ram_topn,3,120,60,10,0.001
ram_top3_m180_v60_f10_cost,0.33617732212183715,0.05702031732824331,0.13275337492517447,-0.24131417022084778,0.42952066085236945,0.23629079583705762,0.3917334948985388,29.433880276220307,131.0,0.02943388027622031,ram_topn,3,180,60,10,0.001
ram_top3_m120_v20_f21_cost,0.4101736493877457,0.06797825463571283,0.15893660389186948,-0.2879742857996279,0.42770672690326883,0.23605668279358805,0.3441226363004418,30.18662788354064,62.0,0.03018662788354064,ram_topn,3,120,20,21,0.001
ram_top3_m60_v20_f10_cost,0.26855374890343287,0.046568187212529866,0.13510453447470103,-0.19853802708762647,0.3446826369935791,0.23455550503670813,0.36884090321705576,69.40435457375563,130.0,0.06940435457375563,ram_topn,3,60,20,10,0.001
ram_top1_m20_v120_f10_cost,0.37417261019330383,0.06270657401711843,0.159027038435581,-0.2678941651200385,0.39431391437576035,0.2340721903704799,0.43507641149031884,141.0,71.0,0.14100000000000001,ram_topn,1,20,120,10,0.001
ram_top1_m60_v20_f21_cost,0.29037703261594894,0.04998950399161517,0.14359322944130065,-0.2168695804502061,0.34813273708040904,0.23050491400333994,0.3696712277841032,69.0,35.0,0.069,ram_topn,1,60,20,21,0.001
ram_top1_m120_v20_f10_cost,0.3322726426297842,0.05642857431075776,0.15335854721884626,-0.24890793010752688,0.3679519357354948,0.2267046063433211,0.3773389904065935,87.0,44.0,0.08700000000000001,ram_topn,1,120,20,10,0.001
ram_top2_m120_v20_f21_cost,0.39045026872909894,0.0651037976925577,0.16822871209839146,-0.28725283040754923,0.38699575643473166,0.22664284143062952,0.3202498521998293,40.16306499707404,62.0,0.04016306499707404,ram_topn,2,120,20,21,0.001
ram_top1_m120_v120_f10_cost,0.3296229109793414,0.0560262157836704,0.16246554216618414,-0.24890793010752676,0.344849837304958,0.22508811093108766,0.3552831106455717,55.0,28.0,0.055,ram_topn,1,120,120,10,0.001
ram_top2_m60_v60_f10_cost,0.2700955903014983,0.04681146351210508,0.1415253467250591,-0.2116030254123472,0.3307638143649673,0.22122303507184918,0.36835221491621023,71.25582592563526,130.0,0.07125582592563527,ram_topn,2,60,60,10,0.001
ram_top1_m120_v60_f10_cost,0.3141163764799373,0.05365847998194395,0.15874099468773248,-0.24890793010752676,0.3380253480677647,0.21557561448027712,0.35029175488289416,67.0,34.0,0.067,ram_topn,1,120,60,10,0.001
ram_top3_m180_v20_f21_cost,0.37242275364784927,0.06244750647224695,0.1506966013978391,-0.29306875304569957,0.4143922682594911,0.21308142141823364,0.33954706147806946,24.690819877804334,62.0,0.024690819877804335,ram_topn,3,180,20,21,0.001
ram_top1_m20_v20_f10_cost,0.2507623541169117,0.043743566639342646,0.15173642571964865,-0.22230156464236517,0.2882865233702299,0.1967757928726976,0.32156078851944964,163.0,82.0,0.163,ram_topn,1,20,20,10,0.001
ram_top2_m120_v60_f10_cost,0.26590315311207813,0.046149408943092496,0.1481537064870232,-0.24615609732595223,0.31149682338278,0.18748025925184736,0.283909340666774,52.138920849976785,127.0,0.05213892084997679,ram_topn,2,120,60,10,0.001
ram_top1_m60_v60_f21_cost,0.21780163816712128,0.03842361755506274,0.15982571032681092,-0.21686958045020555,0.2404094902909819,0.1771738455679127,0.25485818381562264,71.0,36.0,0.07100000000000001,ram_topn,1,60,60,21,0.001
ram_top3_m180_v20_f42_cost,0.31126839875218115,0.05322116104605268,0.16545355406900417,-0.30853259942858124,0.3216682853718345,0.17249769115037145,0.25193519302561285,14.352406428531841,32.0,0.014352406428531842,ram_topn,3,180,20,42,0.001
ram_top1_m60_v120_f21_cost,0.2051243933287472,0.03634644164121026,0.15643694897612764,-0.21686958045020577,0.23233923877380622,0.16759584984559678,0.24688762911644432,63.0,32.0,0.063,ram_topn,1,60,120,21,0.001
ram_top3_m60_v60_f10_cost,0.19354842099018188,0.03443421844722527,0.13966249297177918,-0.21159565637046351,0.24655308461508849,0.16273594192754856,0.2586711716154733,64.70277431719957,130.0,0.06470277431719958,ram_topn,3,60,60,10,0.001
ram_top3_m120_v60_f63_cost,0.2850840870906761,0.04916403267666691,0.16509014722121576,-0.3036478695439393,0.29780113171011113,0.16191133746634978,0.23456491872837448,13.895174365216526,20.0,0.013895174365216527,ram_topn,3,120,60,63,0.001
ram_top3_m120_v60_f21_cost,0.3123474860746962,0.053386949728444266,0.1723829504573008,-0.33214194511799233,0.3096997097846298,0.16073534376839616,0.24257714519194074,24.914244325789934,62.0,0.024914244325789935,ram_topn,3,120,60,21,0.001
ram_top2_m180_v20_f10_cost,0.18953980588951191,0.03376854304231114,0.12745934832700237,-0.21423697114752338,0.2649357892186653,0.15762238824342859,0.25680874543906074,50.812008708936446,131.0,0.05081200870893645,ram_topn,2,180,20,10,0.001
ram_top3_m120_v120_f63_cost,0.2689197623966193,0.046625959539308814,0.1643057549825652,-0.3016884443921981,0.2837755716119401,0.15455003466654024,0.22430459771284386,13.05788296468395,20.0,0.01305788296468395,ram_topn,3,120,120,63,0.001
ram_top2_m120_v60_f21_cost,0.2908188646199199,0.05005828683936553,0.17857304197835952,-0.3320623881906538,0.28032387355215616,0.15074964410189248,0.22249703367563062,31.85469375024004,62.0,0.03185469375024004,ram_topn,2,120,60,21,0.001
ram_top2_m180_v20_f21_cost,0.258952297439355,0.045047837744051966,0.15689574945305826,-0.30716946866369,0.2871195548706044,0.14665467222386416,0.2362379469717497,36.518911222539785,62.0,0.036518911222539786,ram_topn,2,180,20,21,0.001
ram_top3_m180_v60_f21_cost,0.2638086244140694,0.0458179841109958,0.16494297639167835,-0.3384199868423675,0.27778075255653867,0.13538793774712052,0.22154698830431283,21.051011174401843,62.0,0.021051011174401845,ram_topn,3,180,60,21,0.001
ram_top3_m180_v120_f10_cost,0.2104818853518271,0.037226416237191584,0.1428636568436378,-0.29108022820976187,0.26057303207585786,0.12789056977915045,0.22507713859606232,28.061781364852674,131.0,0.028061781364852673,ram_topn,3,180,120,10,0.001
ram_top2_m120_v120_f63_cost,0.21426012535022476,0.03784510492990756,0.1649100005273519,-0.30184624575194785,0.22948944763134957,0.1253787498188996,0.1838103494424952,15.157707151278391,20.0,0.015157707151278392,ram_topn,2,120,120,63,0.001
ram_top3_m120_v120_f10_cost,0.2055973314981916,0.03642424947324474,0.15191408214016497,-0.29434719188288405,0.23976874928314784,0.12374587044722804,0.2036579555590728,38.194374578865094,127.0,0.0381943745788651,ram_topn,3,120,120,10,0.001
ram_top2_m120_v60_f63_cost,0.2073466690782111,0.03671183632946762,0.1687172268220475,-0.30364786954393896,0.21759388191099768,0.12090266394625661,0.17541840972529504,17.02596487384961,20.0,0.01702596487384961,ram_topn,2,120,60,63,0.001
ram_top3_m180_v20_f63_cost,0.2680167704810408,0.046483405028590274,0.19531422099356502,-0.39037685212139883,0.237992936674702,0.11907315911788471,0.17706764159879387,12.118142907475768,21.0,0.012118142907475768,ram_topn,3,180,20,63,0.001
ram_top3_m180_v60_f42_cost,0.216060720317921,0.03813940568151941,0.16786931378520728,-0.3204310010360868,0.227197007133297,0.11902533012785542,0.17958137970283125,15.229438552019335,32.0,0.015229438552019336,ram_topn,3,180,60,42,0.001
ram_top3_m60_v20_f21_cost,0.1982872755087539,0.03521883035304829,0.15161963803382345,-0.3167086240504702,0.23228409465792052,0.11120262499525707,0.20475784208506806,48.74536621030709,63.0,0.04874536621030709,ram_topn,3,60,20,21,0.001
ram_top3_m60_v120_f10_cost,0.1339276573938002,0.024341049197181164,0.14442328887482048,-0.22077274595151175,0.16853964057195012,0.1102538680319136,0.17322565616391716,62.95306235216912,130.0,0.06295306235216912,ram_topn,3,60,120,10,0.001
ram_top2_m120_v120_f10_cost,0.17618148290764468,0.03153706869094397,0.15898392784569054,-0.29647349814305446,0.1983663953852856,0.1063739892046833,0.17241190452683758,46.50014090314767,127.0,0.04650014090314767,ram_topn,2,120,120,10,0.001
ram_top1_m20_v60_f42_cost,0.08700392101890886,0.016090999274689155,0.12247006548215521,-0.16313547944824836,0.1313872023448353,0.098635804603092,0.15114524295834478,51.0,26.0,0.051000000000000004,ram_topn,1,20,60,42,0.001
ram_top2_m60_v20_f10_cost,0.1058774144259449,0.019443282320960042,0.13739265654787322,-0.1982803106103791,0.14151616840005715,0.09805957162920781,0.15664853683726002,80.96754115825419,130.0,0.08096754115825419,ram_topn,2,60,20,10,0.001
ram_top2_m180_v20_f42_cost,0.17012991515300802,0.03051941854004636,0.16969374922821176,-0.3169070490178594,0.17984998668986021,0.09630400659950746,0.1406934717105349,18.809923464149826,32.0,0.018809923464149825,ram_topn,2,180,20,42,0.001
ram_top1_m20_v20_f42_cost,0.10529567155220443,0.019340647599128014,0.14962374202084075,-0.21395636599635215,0.12926188944288067,0.09039528928743239,0.13506724763210243,45.0,23.0,0.045,ram_topn,1,20,20,42,0.001
